
N(0,2)	-2.06	2.06	-4	4	
Outlier_Model()	
Start B2	
IAAA-30441	-1106	-927.5	-1200	-897.5	
PLD-4128	-1194	-1053.5	-1211.5	-1046	
Combination3	-1185.5	-1050	-1204	-1015.5	
YU-4538	-1366.5	-1221	-1384.5	-1199.5	
YU-4570	-1219.5	-1124.5	-1265	-1054.5	
Combination11	-1266.5	-1208.5	-1369.5	-1126.5	
PLD-5028	-1108.5	-1013.5	-1188.5	-997	
PLD-5029	-1209.5	-1113.5	-1253	-1046	
Combination15	-1120.5	-1049	-1194.5	-1013	
PLD-5932	-1014	-929	-1104	-908.5	
PLD-5933	-925	-835.5	-980.5	-826.5	
PLD-5934	-997.5	-925	-1044	-898.5	
PLD-5927	-962	-836	-984	-829.5	
PLD-5928	-984.5	-914	-1040.5	-846.5	
PLD-5929	-982	-908	-1011	-844	
PLD-5931	-1104.5	-938.5	-1115.5	-929.5	
Combination27	-981	-922	-1002.5	-911	
MTC-3790	-1368.5	-1113	-1392.5	-1014.5	
BETA-189947	-1258	-1121.5	-1374	-1047	
Combination28	-1257	-1124.5	-1368	-1053	
MTC-3791	-1374	-1211	-1389.5	-1125	
BETA-189951	-1368.5	-1128.5	-1392	-1111	
Combination29	-1368.5	-1209.5	-1382.5	-1126	
MTC-3789	-1374.5	-1132.5	-1393.5	-1120	
BETA-189944	-1383.5	-1225.5	-1412	-1131	
Combination30	-1373	-1220	-1393	-1130.5	
MTC-3792	-1394	-1273	-1419	-1219	
BETA-189946	-1257	-1114.5	-1367.5	-1017	
Combination31	-1369	-1213	-1385	-1126.5	
MTC-3788	-1047	-850.5	-1123.5	-817	
BETA-191834	-1046	-928	-1123.5	-897.5	
MTC-4053	-896	-813.5	-929	-799	
Combination34	-981.5	-897.5	-1005.5	-835.5	
MTC-5393	-1381	-1213.5	-1406	-1125	
MTC-5387	-1186.5	-1015	-1216	-996.5	
PLD-4485	-1185.5	-1049.5	-1204.5	-1015	
PLD-4486	-1252	-1125.5	-1261	-1119	
PLD-4492	-1203.5	-1120.5	-1219.5	-1052.5	
PLD-4494	-1254	-1125	-1275.5	-1057	
PLD-4501	-1260.5	-1129	-1368	-1119.5	
PLD-4502	-1266.5	-1133.5	-1369.5	-1125	
MTC-3775	-1153.5	-1016	-1207	-1007	
BETA-190354	-1407	-1288.5	-1429	-1224.5	
MTC-6393	-1109.5	-1007	-1191	-929.5	
MTC-6394	-1196.5	-1052	-1251	-1009.5	
